GSA,Species,Stock,Fmsy,Fref,Meeting,Method,Assessment_URL
18,Deepwater pink shrimp,DPS,0.68,F0.1,???2013-04_STECF 13-05,,NA
1,Anchovy,ANE,0.4519,F0.1,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
6,Anchovy,ANE,NA,E,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
20,Anchovy,ANE,NA,E,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
22-23,Deepwater pink shrimp,DPS,,,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
25,Red mullet,MUT,0.22,F0.1,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
17,Norway lobster,NEP,0.44,F0.1,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
6,Sardine,PIL,NA,E,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
20,Sardine,PIL,NA,E,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
12_16,Deepwater pink shrimp,DPS,0.9,F0.1,10-12_SGMED 10-03,,https://stecf.jrc.ec.europa.eu/documents/43805/44875/10-12_SGMED+10-03+-+Assessment+of+Med+stocks_JRC61927.pdf
15-16,Hake,HKE,0.15,F0.1,10-12_SGMED 10-03,,https://stecf.jrc.ec.europa.eu/documents/43805/44875/10-12_SGMED+10-03+-+Assessment+of+Med+stocks_JRC61927.pdf
1,Blue and red shrimp,ARA,0.29,F0.1,2011-07_STECF 11-08,,https://stecf.jrc.ec.europa.eu/documents/43805/155734/2011-07_STECF+11-08+-+Assessment+of+Med+Sea+stocks_JRC66052.pdf
9,Anchovy,ANE,NA,E,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
9,Blue and red shrimp,ARA,0.32,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
11,Giant red shrimp,ARS,0.49,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
9,Deepwater pink shrimp,DPS,0.7,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
6,Hake,HKE,0.11,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
9,Hake,HKE,0.2,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
9,Spottail mantis shrimp,MTS,0.54,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
9,Striped red mullet,MUR,0.31,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
1,Red mullet,MUT,0.3,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
9,Norway lobster,NEP,0.21,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
9,Common pandora,PAC,0.48,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
25,Picarel,SPC,0.31,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
9,Blackmouth,SHO,0.13,F0.1,2011-11_STECF 11-14,,https://stecf.jrc.ec.europa.eu/documents/43805/219871/2011-11_STECF+11-14+-+Med+Stock+Assessments+part+2_JRC67797.pdf
22,Anchovy,ANE,NA,E,2012-04_STECF 12-03,,https://stecf.jrc.ec.europa.eu/documents/43805/265332/2012-04_STECF+12-03+-+Med+stock+assessments_JRC70907.pdf
5,Hake,HKE,0.157,F0.1,2012-04_STECF 12-03,,https://stecf.jrc.ec.europa.eu/documents/43805/265332/2012-04_STECF+12-03+-+Med+stock+assessments_JRC70907.pdf
10,Red mullet,MUT,0.41,F0.1,2012-04_STECF 12-03,,https://stecf.jrc.ec.europa.eu/documents/43805/265332/2012-04_STECF+12-03+-+Med+stock+assessments_JRC70907.pdf
22,Sardine,PIL,NA,E,2012-04_STECF 12-03,,https://stecf.jrc.ec.europa.eu/documents/43805/265332/2012-04_STECF+12-03+-+Med+stock+assessments_JRC70907.pdf
6,Black-bellied anglerfish,ANK,0.15,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
7,Black-bellied anglerfish,ANK,0.29,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
15-16,Black-bellied anglerfish,ANK,0.16,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
6,Blue and red shrimp,ARA,0.3,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
11,Deepwater pink shrimp,DPS,0.49,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
10,Spottail mantis shrimp,MTS,0.41,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
17,Spottail mantis shrimp,MTS,0.3,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
18,Spottail mantis shrimp,MTS,0.27,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
7,Red mullet,MUT,0.51,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
18,Red mullet,MUT,0.5,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
15-16,Red mullet,MUT,0.45,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
5,Norway lobster,NEP,0.42,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
18,Norway lobster,NEP,0.3,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
5,Common,OCC,0.32,Fmsy,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
15-16,Common pandora,PAC,0.3,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
9,Poor cod,POD,0.74,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
6,Blue whiting,WHB,0.32,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
9,Blue whiting,WHB,0.53,F0.1,2012-11_STECF 12-19,,https://stecf.jrc.ec.europa.eu/documents/43805/319223/2012-11_STECF+12-19+-+MED+stock+assessements+part+1_JRC76735.pdf
22-23,Bogue,BOG,0.649,Fmsy,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
20,Hake,HKE,0.27,F0.1,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
22-23,Hake,HKE,0.24,F0.1,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
20,Striped red mullet,MUR,0.269,Fmsy,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
22-23,Striped red mullet,MUR,0.289,Fmsy,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
20,Red mullet,MUT,0.532,F0.1,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
22-23,Red mullet,MUT,0.52,F0.1,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
20,Norway lobster,NEP,0.3778,Fmsy,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
22-23,Norway lobster,NEP,0.13,F0.1,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
20,Blotched picarel,PIC,0.233,Fmsy,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
22-23,Blotched picarel,PIC,0.331,Fmsy,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
20,Picarel,SPC,0.53,Fmsy,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
22-23,Picarel,SPC,0.3,Fmsy,2012-11_STECF 12-21,,https://stecf.jrc.ec.europa.eu/documents/43805/55543/2012-11_STECF+12-21+-+Greek+Stock+assessment_JRC77117.pdf
16,Anchovy,ANE,0.08,Fmsy,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
5,Black-bellied anglerfish,ANK,0.18,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
10,Blue and red shrimp,ARA,0.31,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
10,Giant red shrimp,ARS,0.4,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
18,Giant red shrimp,ARS,0.3,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
12_16,Giant red shrimp,ARS,0.3,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
9,Greater forkbeard,GFB,0.32,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
17,Hake,HKE,0.2,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
9,Red mullet,MUT,0.54,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
19,Red mullet,MUT,0.3,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
1,Norway lobster,NEP,0.2,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
6,Norway lobster,NEP,0.15,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
16,Sardine,PIL,0.16,Fmsy,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
1,Blue whiting,WHB,0.4,F0.1,2013-04_STECF 13-05,,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf
29,Sprat,SPR,0.64,Fmsy,2013-10_STECF 13-20,,https://stecf.jrc.ec.europa.eu/documents/43805/629927/2013-10_STECF+13-20+-+Black+Sea+stock+assessemnets_JRC85367.pdf
29,Turbot,TUR,0.26,Fmsy,2013-10_STECF 13-20,,https://stecf.jrc.ec.europa.eu/documents/43805/629927/2013-10_STECF+13-20+-+Black+Sea+stock+assessemnets_JRC85367.pdf
29,Whiting,WHG,NA,F0.1,2013-10_STECF 13-20,,https://stecf.jrc.ec.europa.eu/documents/43805/629927/2013-10_STECF+13-20+-+Black+Sea+stock+assessemnets_JRC85367.pdf
29,Piked dogfish,DGS,0.18,F0.1,2013-10_STECF 13-20,,https://stecf.jrc.ec.europa.eu/documents/43805/629927/2013-10_STECF+13-20+-+Black+Sea+stock+assessemnets_JRC85367.pdf
29,Red mullet,MUT,0.46,F0.1,2013-10_STECF 13-20,,https://stecf.jrc.ec.europa.eu/documents/43805/629927/2013-10_STECF+13-20+-+Black+Sea+stock+assessemnets_JRC85367.pdf
15-16,Blue and red shrimp,ARA,0.26,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
9,Giant red shrimp,ARS,0.36,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
1,Deepwater pink shrimp,DPS,0.26,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
5,Deepwater pink shrimp,DPS,0.62,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
6,Deepwater pink shrimp,DPS,0.27,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
10,Deepwater pink shrimp,DPS,0.93,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
19,Deepwater pink shrimp,DPS,0.67,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
1,Hake,HKE,0.22,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
7,Hake,HKE,0.11,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
10,Hake,HKE,0.14,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
11,Hake,HKE,0.25,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
18,Hake,HKE,0.19,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
19,Hake,HKE,0.22,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
15-16,Norway lobster,NEP,0.2,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
17,Common sole,SOL,0.31,F0.1,2013-11_STECF 13 -22,,https://stecf.jrc.ec.europa.eu/documents/43805/567676/2013-11_STEC+13-22+-+Med+stock+assessments+part+1_JRC86087.pdf
17,Anchovy,ANE,0.38,Fmsy,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
19,Anchovy,ANE,NA,E,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
5,Striped red mullet,MUR,0.181,F0.1,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
15-16,Striped red mullet,MUR,0.19,F0.1,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
5,Red mullet,MUT,0.14,F0.1,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
6,Red mullet,MUT,0.45,F0.1,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
11,Red mullet,MUT,0.11,F0.1,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
17,Red mullet,MUT,0.21,F0.1,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
1,Sardine,PIL,NA,E,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
9,Sardine,PIL,NA,E,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
17,Sardine,PIL,0.46,Fmsy,STECF 13-19,,https://stecf.jrc.ec.europa.eu/documents/43805/664390/2014-04_STECF+14-08+2013+Med+assessments+part+2_JRC89860.pdf
